SAMPID,Sample,Tissue
GTEX-13FLV-0011-R9b-SM-5L3DA,sample1754,Brain
GTEX-13FLV-0126-SM-5K7WT,sample1755,Skin
GTEX-13FLV-0226-SM-5J2OF,sample1756,Thyroid
GTEX-13FLV-0926-SM-5L3DZ,sample1757,Heart
GTEX-13FLV-1126-SM-5J2NO,sample1758,Esophagus
GTEX-13FLV-1226-SM-5IJBZ,sample1759,Esophagus
GTEX-13FLV-1326-SM-5L3EJ,sample1760,Esophagus
GTEX-13FLV-1426-SM-5J1N4,sample1761,Blood Vessel
GTEX-13FLW-0011-R10b-SM-5LZZF,sample1762,Brain
GTEX-13FLW-0011-R1b-SM-5LZX2,sample1763,Brain
GTEX-13FLW-0011-R5a-SM-5LZX6,sample1764,Brain
GTEX-13FLW-0011-R6b-SM-5L3EN,sample1765,Brain
GTEX-13FLW-0011-R7b-SM-5L3EZ,sample1766,Brain
GTEX-13FLW-0011-R8b-SM-5J1MZ,sample1767,Brain
GTEX-13FLW-0326-SM-5J2M4,sample1768,Thyroid
GTEX-13FLW-1426-SM-5K7YE,sample1769,Brain
GTEX-13FTW-0005-SM-5LZVZ,sample1770,Blood
GTEX-13FTW-0326-SM-5K7UW,sample1771,Skin
GTEX-13FTW-0426-SM-5K7X2,sample1772,Adipose Tissue
GTEX-13FTW-0626-SM-5IFEX,sample1773,Thyroid
GTEX-13FTW-0726-SM-9WG72,sample1774,Blood Vessel
GTEX-13FTW-0826-SM-5K7XR,sample1775,Heart
GTEX-13FTW-0926-SM-5J2NJ,sample1776,Blood Vessel
GTEX-13FTW-1026-SM-5L3E3,sample1777,Heart
GTEX-13FTW-1526-SM-5LZXC,sample1778,Esophagus
GTEX-13FTW-1626-SM-5KM4N,sample1779,Esophagus
GTEX-13FTW-1826-SM-5IJEN,sample1780,Colon
GTEX-13FTW-1926-SM-5K7Y4,sample1781,Esophagus
GTEX-13FTW-2126-SM-5K7YG,sample1782,Colon
GTEX-13FTW-2226-SM-5J1OH,sample1783,Blood Vessel
GTEX-13FTW-2326-SM-5K7YS,sample1784,Muscle
GTEX-13FTW-2526-SM-5IJC8,sample1785,Adipose Tissue
GTEX-13FTW-2626-SM-5K7WL,sample1786,Skin
GTEX-13FTX-0005-SM-5N9F6,sample1787,Blood
GTEX-13FTX-0226-SM-5K7TX,sample1788,Blood Vessel
GTEX-13FTX-0526-SM-5IFGS,sample1789,Esophagus
GTEX-13FTX-0626-SM-5J2NS,sample1790,Adipose Tissue
GTEX-13FTX-1526-SM-5K7VJ,sample1791,Skin
GTEX-13FTX-1826-SM-5J1NX,sample1792,Skin
GTEX-13FTX-2026-SM-5L3D6,sample1793,Muscle
GTEX-13FTX-2226-SM-5J1OP,sample1794,Blood Vessel
GTEX-13FTY-0005-SM-5NQ78,sample1795,Blood
GTEX-13FTY-0011-R11a-SM-5IJEA,sample1796,Brain
GTEX-13FTY-0011-R1a-SM-5LZXE,sample1797,Brain
GTEX-13FTY-0011-R9b-SM-5KM2U,sample1798,Brain
GTEX-13FTY-0226-SM-5IJBW,sample1799,Muscle
GTEX-13FTY-0426-SM-5IJC2,sample1800,Blood Vessel
GTEX-13FTY-0526-SM-5L3EV,sample1801,Skin
GTEX-13FTY-0626-SM-5L3F8,sample1802,Adipose Tissue
GTEX-13FTY-0726-SM-5J2OH,sample1803,Thyroid
GTEX-13FTY-2126-SM-5IFFB,sample1804,Skin
GTEX-13FTZ-0005-SM-5NQ9N,sample1805,Blood
GTEX-13FTZ-0011-R10b-SM-5KLZS,sample1806,Brain
GTEX-13FTZ-0126-SM-5K7V3,sample1807,Blood Vessel
GTEX-13FTZ-0226-SM-5K7X6,sample1808,Heart
GTEX-13FTZ-0326-SM-5J1O1,sample1809,Heart
GTEX-13FTZ-2226-SM-5LZXI,sample1810,Muscle
GTEX-13FXS-0006-SM-5O99X,sample1811,Blood
GTEX-13FXS-0011-R10a-SM-5J2MA,sample1812,Brain
GTEX-13FXS-0011-R11a-SM-5L3DM,sample1813,Brain
GTEX-13FXS-0011-R1a-SM-5K7U6,sample1814,Brain
GTEX-13FXS-0011-R2b-SM-5K7XX,sample1815,Brain
GTEX-13FXS-0011-R5b-SM-5LZYE,sample1816,Brain
GTEX-13FXS-0011-R6b-SM-5L3F7,sample1817,Brain
GTEX-13FXS-0011-R7a-SM-5L3FC,sample1818,Brain
GTEX-13FXS-0011-R8a-SM-5J1MN,sample1819,Brain
GTEX-13FXS-0011-R9a-SM-5K7UI,sample1820,Brain
GTEX-13FXS-0226-SM-5IJCK,sample1821,Skin
GTEX-13FXS-0326-SM-5K7TV,sample1822,Muscle
GTEX-13FXS-0726-SM-5LZXJ,sample1823,Thyroid
GTEX-13FXS-1026-SM-62LFQ,sample1824,Heart
GTEX-13FXS-1126-SM-5IJBB,sample1825,Blood Vessel
GTEX-13FXS-1326-SM-62LFR,sample1826,Adipose Tissue
GTEX-13FXS-3026-SM-5LZYO,sample1827,Brain
GTEX-13FXS-3126-SM-5J2NN,sample1828,Brain
GTEX-13G51-0005-SM-5N9EP,sample1829,Blood
GTEX-13G51-0011-R10b-SM-5LZYF,sample1830,Brain
GTEX-13G51-0011-R11b-SM-5J2NE,sample1831,Brain
GTEX-13G51-0011-R1a-SM-5LZYR,sample1832,Brain
GTEX-13G51-0011-R2b-SM-5LZXS,sample1833,Brain
GTEX-13G51-0011-R5a-SM-5L3EB,sample1834,Brain
GTEX-13G51-0011-R6b-SM-5LZX4,sample1835,Brain
GTEX-13G51-0011-R7b-SM-5LZXG,sample1836,Brain
GTEX-13G51-0011-R8b-SM-5LZZ4,sample1837,Brain
GTEX-13G51-0526-SM-5IJCQ,sample1838,Adipose Tissue
GTEX-13G51-0926-SM-5IFFU,sample1839,Esophagus
GTEX-13G51-1026-SM-5K7YQ,sample1840,Esophagus
GTEX-13G51-1226-SM-5K7Z3,sample1841,Thyroid
GTEX-13G51-1826-SM-5KLZH,sample1842,Skin
GTEX-13G51-2126-SM-5IJD9,sample1843,Colon
GTEX-13G51-2526-SM-5LZYK,sample1844,Skin
GTEX-13G51-2626-SM-5LZYW,sample1845,Adipose Tissue
GTEX-13G51-2726-SM-5LZZ9,sample1846,Muscle
GTEX-13G51-2926-SM-5IJDL,sample1847,Blood Vessel
GTEX-13G51-3026-SM-5IJB8,sample1848,Brain
GTEX-13G51-3126-SM-5IJG7,sample1849,Brain
GTEX-13IVO-0011-R10a-SM-5LZY3,sample1850,Brain
GTEX-13IVO-0011-R3b-SM-5IJBJ,sample1851,Brain
GTEX-13IVO-0011-R6b-SM-5K7X9,sample1852,Brain
GTEX-13IVO-0011-R8a-SM-5L3DY,sample1853,Brain
GTEX-13IVO-0126-SM-5J1NG,sample1854,Skin
GTEX-13IVO-0226-SM-5LZXU,sample1855,Adipose Tissue
GTEX-13IVO-0626-SM-5LZYJ,sample1856,Muscle
GTEX-13IVO-0726-SM-5LZYV,sample1857,Skin
GTEX-13IVO-0926-SM-5KLZP,sample1858,Thyroid
GTEX-13IVO-2426-SM-5K7V9,sample1859,Adipose Tissue
GTEX-13IVO-2926-SM-5L3CZ,sample1860,Brain
GTEX-13JUV-0006-SM-5NQ97,sample1861,Blood
GTEX-13JUV-0011-R10b-SM-5LZXR,sample1862,Brain
GTEX-13JUV-0011-R11a-SM-5LZYH,sample1863,Brain
GTEX-13JUV-0011-R1a-SM-5LZY4,sample1864,Brain
GTEX-13JUV-0011-R5a-SM-5LZY5,sample1865,Brain
GTEX-13JUV-0011-R6b-SM-5LZYG,sample1866,Brain
GTEX-13JUV-0011-R7b-SM-5LZZG,sample1867,Brain
GTEX-13JUV-0011-R9a-SM-5LZX3,sample1868,Brain
GTEX-13JUV-0226-SM-5IJCC,sample1869,Heart
GTEX-13JUV-0626-SM-5J1MQ,sample1870,Adipose Tissue
GTEX-13JUV-2026-SM-5K7UA,sample1871,Skin
GTEX-13JUV-2326-SM-5IJCE,sample1872,Muscle
GTEX-13JUV-2426-SM-5J1NS,sample1873,Blood Vessel
GTEX-13JUV-2726-SM-5LZZ8,sample1874,Skin
GTEX-13JUV-2826-SM-5LZWU,sample1875,Adipose Tissue
GTEX-13JUV-2926-SM-5LZX7,sample1876,Brain
GTEX-13JUV-3026-SM-5K7WX,sample1877,Brain
GTEX-13JVG-0011-R10b-SM-5KM2P,sample1878,Brain
GTEX-13JVG-0011-R11a-SM-5KM53,sample1879,Brain
GTEX-13JVG-0011-R1a-SM-5KM32,sample1880,Brain
GTEX-13JVG-0011-R3b-SM-5LZXF,sample1881,Brain
GTEX-13JVG-0011-R4a-SM-5MR4C,sample1882,Brain
GTEX-13JVG-0011-R5a-SM-5MR4O,sample1883,Brain
GTEX-13JVG-0011-R6a-SM-5MR3E,sample1884,Brain
GTEX-13JVG-0011-R7b-SM-5MR3Q,sample1885,Brain
GTEX-13JVG-0011-R8a-SM-5KM3E,sample1886,Brain
GTEX-13JVG-0126-SM-5L3D3,sample1887,Muscle
GTEX-13JVG-0226-SM-5J1MW,sample1888,Adipose Tissue
GTEX-13JVG-0426-SM-5MR59,sample1889,Blood Vessel
GTEX-13JVG-0726-SM-5KM16,sample1890,Skin
GTEX-13JVG-0926-SM-5IJE1,sample1891,Thyroid
GTEX-13JVG-1126-SM-5KM2M,sample1892,Heart
GTEX-13JVG-1326-SM-5N9F8,sample1893,Heart
GTEX-13JVG-2026-SM-5KM1N,sample1894,Esophagus
GTEX-13JVG-3126-SM-5L3FH,sample1895,Brain
GTEX-13JVG-3226-SM-5IJGJ,sample1896,Brain
GTEX-13N11-0426-SM-5KM3O,sample1897,Heart
GTEX-13N11-0626-SM-5J1OL,sample1898,Blood Vessel
GTEX-13N11-0726-SM-5L3DP,sample1899,Heart
GTEX-13N11-1026-SM-5K7XQ,sample1900,Thyroid
GTEX-13N11-1826-SM-5IJDS,sample1901,Adipose Tissue
GTEX-13N11-2326-SM-5IJBF,sample1902,Skin
GTEX-13N11-2526-SM-5K7UE,sample1903,Skin
GTEX-13N11-2626-SM-5K7UQ,sample1904,Adipose Tissue
GTEX-13N11-2726-SM-5L3ER,sample1905,Muscle
GTEX-13N11-2926-SM-5K7VD,sample1906,Blood Vessel
GTEX-13N1W-0011-R10b-SM-5MR4H,sample1907,Brain
GTEX-13N1W-0011-R1b-SM-5MR4T,sample1908,Brain
GTEX-13N1W-0011-R3a-SM-5MR5E,sample1909,Brain
GTEX-13N1W-0011-R4a-SM-5MR52,sample1910,Brain
GTEX-13N1W-0011-R5b-SM-5MR5Q,sample1911,Brain
GTEX-13N1W-0011-R6a-SM-5MR43,sample1912,Brain
GTEX-13N1W-0011-R7b-SM-5MR4F,sample1913,Brain
GTEX-13N1W-0011-R8a-SM-5MR56,sample1914,Brain
GTEX-13N1W-0011-R9b-SM-5MR4R,sample1915,Brain
GTEX-13N1W-0126-SM-5K7VT,sample1916,Skin
GTEX-13N1W-0226-SM-5K7W6,sample1917,Adipose Tissue
GTEX-13N1W-0326-SM-5IJDJ,sample1918,Blood Vessel
GTEX-13N1W-0526-SM-5MR4I,sample1919,Muscle
GTEX-13N1W-0826-SM-5MR5J,sample1920,Thyroid
GTEX-13N1W-0926-SM-5MR36,sample1921,Heart
GTEX-13N1W-1026-SM-5IJC5,sample1922,Heart
GTEX-13N1W-1226-SM-5K7UM,sample1923,Adipose Tissue
GTEX-13N1W-1926-SM-5IJCH,sample1924,Esophagus
GTEX-13N1W-2426-SM-5IJD1,sample1925,Skin
GTEX-13N2G-0011-R10a-SM-5MR34,sample1926,Brain
GTEX-13N2G-0011-R11a-SM-5MR3F,sample1927,Brain
GTEX-13N2G-0011-R1b-SM-5MR3G,sample1928,Brain
GTEX-13N2G-0011-R2a-SM-5MR4Q,sample1929,Brain
GTEX-13N2G-0011-R3b-SM-5MR5G,sample1930,Brain
GTEX-13N2G-0011-R4b-SM-5MR54,sample1931,Brain
GTEX-13N2G-0011-R6b-SM-5MR3P,sample1932,Brain
GTEX-13N2G-0011-R7a-SM-5MR42,sample1933,Brain
GTEX-13N2G-0011-R9b-SM-5MR4E,sample1934,Brain
GTEX-13N2G-0226-SM-5K7VF,sample1935,Skin
GTEX-13N2G-0526-SM-5MR5L,sample1936,Blood Vessel
GTEX-13N2G-0726-SM-5MR38,sample1937,Thyroid
GTEX-13N2G-1926-SM-5J1O3,sample1938,Adipose Tissue
GTEX-13N2G-2226-SM-5IJCU,sample1939,Colon
GTEX-13N2G-2326-SM-5J1ON,sample1940,Muscle
GTEX-13N2G-2626-SM-5J1OT,sample1941,Skin
GTEX-13N2G-2726-SM-5J1MG,sample1942,Adipose Tissue
GTEX-13N2G-3126-SM-5IJGL,sample1943,Brain
GTEX-13NYB-0011-R10a-SM-5KM43,sample1944,Brain
GTEX-13NYB-0011-R11a-SM-5KM3Q,sample1945,Brain
GTEX-13NYB-0011-R1b-SM-5KM4F,sample1946,Brain
GTEX-13NYB-0011-R2a-SM-5MR3C,sample1947,Brain
GTEX-13NYB-0011-R3b-SM-A9SM4,sample1948,Brain
GTEX-13NYB-0011-R4b-SM-9QEGJ,sample1949,Brain
GTEX-13NYB-0011-R5a-SM-5MR45,sample1950,Brain
GTEX-13NYB-0011-R6b-SM-5MR51,sample1951,Brain
GTEX-13NYB-0011-R7a-SM-5MR5D,sample1952,Brain
GTEX-13NYB-0011-R8a-SM-5KM4R,sample1953,Brain
GTEX-13NYB-0011-R9b-SM-5MR5P,sample1954,Brain
GTEX-13NYB-0126-SM-5J1MD,sample1955,Skin
GTEX-13NYB-0226-SM-5N9G4,sample1956,Heart
GTEX-13NYB-0326-SM-5IJDP,sample1957,Heart
GTEX-13NYB-0426-SM-5IJDD,sample1958,Blood Vessel
GTEX-13NYB-0726-SM-5MR4J,sample1959,Thyroid
GTEX-13NYB-0826-SM-5MR4V,sample1960,Esophagus
GTEX-13NYB-0926-SM-5IFFA,sample1961,Esophagus
GTEX-13NYB-1326-SM-5K7Y1,sample1962,Esophagus
GTEX-13NYB-2526-SM-5K7Z6,sample1963,Skin
GTEX-13NYB-2626-SM-9YFMI,sample1964,Adipose Tissue
GTEX-13NYB-2726-SM-5J2MT,sample1965,Muscle
GTEX-13NYB-2926-SM-5K7VH,sample1966,Blood Vessel
GTEX-13NYB-3026-SM-5IJD7,sample1967,Brain
GTEX-13NYB-3226-SM-5J2ND,sample1968,Brain
GTEX-13NYC-0126-SM-5L3F4,sample1969,Skin
GTEX-13NYC-0326-SM-E9J4S,sample1970,Skin
GTEX-13NYC-0726-SM-5J2NQ,sample1971,Muscle
GTEX-13NYC-0826-SM-5N9FP,sample1972,Blood Vessel
GTEX-13NYC-2426-SM-5MR3K,sample1973,Thyroid
GTEX-13NYC-2826-SM-5K7WR,sample1974,Brain
GTEX-13NYS-0011-R10a-SM-5MR4S,sample1975,Brain
GTEX-13NYS-0011-R11b-SM-5MR4P,sample1976,Brain
GTEX-13NYS-0011-R1b-SM-5MR55,sample1977,Brain
GTEX-13NYS-0011-R2b-SM-5MR4G,sample1978,Brain
GTEX-13NYS-0011-R3b-SM-5MR41,sample1979,Brain
GTEX-13NYS-0011-R4b-SM-5MR3O,sample1980,Brain
GTEX-13NYS-0011-R5a-SM-5MR4D,sample1981,Brain
GTEX-13NYS-0011-R6b-SM-5MR3R,sample1982,Brain
GTEX-13NYS-0011-R8a-SM-5MR5H,sample1983,Brain
GTEX-13NYS-0011-R9b-SM-5MR44,sample1984,Brain
GTEX-13NYS-0126-SM-5MR3W,sample1985,Skin
GTEX-13NYS-0226-SM-5MR49,sample1986,Adipose Tissue
GTEX-13NYS-0326-SM-5MR4L,sample1987,Muscle
GTEX-13NYS-0526-SM-5J1OF,sample1988,Blood Vessel
GTEX-13NYS-0626-SM-5L3F1,sample1989,Skin
GTEX-13NYS-0726-SM-5J1OR,sample1990,Adipose Tissue
GTEX-13NYS-1926-SM-5IJCB,sample1991,Heart
GTEX-13NYS-3126-SM-5KLYV,sample1992,Brain
GTEX-13NZ8-0011-R1b-SM-5KM3V,sample1993,Brain
GTEX-13NZ8-0011-R8b-SM-5KM48,sample1994,Brain
GTEX-13NZ8-0226-SM-5J2OK,sample1995,Thyroid
GTEX-13NZ8-0826-SM-5MR3I,sample1996,Skin
GTEX-13NZ8-0926-SM-5MR3U,sample1997,Adipose Tissue
GTEX-13NZ8-1226-SM-5KM4A,sample1998,Skin
GTEX-13NZ8-1626-SM-5IJBC,sample1999,Blood Vessel
GTEX-13NZ9-0126-SM-5K7XV,sample2000,Heart
GTEX-13NZ9-0526-SM-5J1OX,sample2001,Adipose Tissue
GTEX-13NZ9-0626-SM-5IJCO,sample2002,Muscle
GTEX-13NZ9-0826-SM-5J1NI,sample2003,Blood Vessel
GTEX-13NZ9-1126-SM-5MR37,sample2004,Thyroid
GTEX-13NZ9-1226-SM-5MR3J,sample2005,Blood Vessel
GTEX-13NZ9-2026-SM-5KM1U,sample2006,Adipose Tissue
GTEX-13NZ9-2626-SM-5L3FK,sample2007,Skin
GTEX-13NZA-0011-R10b-SM-5KM54,sample2008,Brain
GTEX-13NZA-0011-R11b-SM-5KM4W,sample2009,Brain
GTEX-13NZA-0011-R1b-SM-5LUAF,sample2010,Brain
GTEX-13NZA-0011-R5b-SM-5KM4K,sample2011,Brain
GTEX-13NZA-0011-R8b-SM-5KM2Q,sample2012,Brain
GTEX-13NZA-0011-R9b-SM-5MR5I,sample2013,Brain
GTEX-13NZA-0126-SM-5K7UH,sample2014,Adipose Tissue
GTEX-13NZA-0226-SM-5K7Z7,sample2015,Skin
GTEX-13NZA-0526-SM-5L3D7,sample2016,Muscle
GTEX-13NZA-0826-SM-5K7WS,sample2017,Heart
GTEX-13NZA-1026-SM-5MR48,sample2018,Thyroid
GTEX-13NZA-1126-SM-5MR4K,sample2019,Blood Vessel
GTEX-13NZB-0226-SM-5KM1T,sample2020,Heart
GTEX-13NZB-0426-SM-5KM26,sample2021,Heart
GTEX-13NZB-0826-SM-5K7X5,sample2022,Adipose Tissue
GTEX-13NZB-1226-SM-5J2MW,sample2023,Esophagus
GTEX-13NZB-2226-SM-5MR5B,sample2024,Blood Vessel
GTEX-13NZB-2426-SM-5K7UF,sample2025,Adipose Tissue
GTEX-13NZB-2526-SM-5J1OM,sample2026,Skin
GTEX-13NZB-2626-SM-5J2M7,sample2027,Muscle
GTEX-13O1R-0011-R9b-SM-5KM33,sample2028,Brain
GTEX-13O1R-0126-SM-5L3EH,sample2029,Skin
GTEX-13O1R-0226-SM-5K7U5,sample2030,Adipose Tissue
GTEX-13O1R-0526-SM-5K7XU,sample2031,Muscle
GTEX-13O1R-0826-SM-5J2MB,sample2032,Thyroid
GTEX-13O1R-0926-SM-5L3DS,sample2033,Heart
GTEX-13O1R-1026-SM-5KM2L,sample2034,Blood Vessel
GTEX-13O1R-1226-SM-5J1NU,sample2035,Heart
GTEX-13O1R-1326-SM-5IJF5,sample2036,Esophagus
GTEX-13O1R-1526-SM-5J1O7,sample2037,Esophagus
GTEX-13O1R-2426-SM-5KLZZ,sample2038,Colon
GTEX-13O21-0326-SM-5J1N9,sample2039,Heart
GTEX-13O21-0426-SM-5K7VR,sample2040,Blood Vessel
GTEX-13O21-0626-SM-5IJDI,sample2041,Esophagus
GTEX-13O21-0726-SM-5L3EG,sample2042,Esophagus
GTEX-13O21-0826-SM-5J2NU,sample2043,Esophagus
GTEX-13O21-1426-SM-5K7XI,sample2044,Skin
GTEX-13O21-1526-SM-5K7W4,sample2045,Adipose Tissue
GTEX-13O21-1726-SM-5MR5A,sample2046,Muscle
GTEX-13O21-2226-SM-5MR3L,sample2047,Thyroid
GTEX-13O21-2326-SM-5MR3X,sample2048,Heart
GTEX-13O21-2426-SM-5MR4A,sample2049,Colon
GTEX-13O21-2526-SM-5J1OZ,sample2050,Blood Vessel
GTEX-13O21-2926-SM-5J1OU,sample2051,Blood Vessel
GTEX-13O21-3126-SM-5J1OI,sample2052,Adipose Tissue
GTEX-13O3O-0011-R10a-SM-5LUA9,sample2053,Brain
GTEX-13O3O-0011-R11b-SM-5KM4G,sample2054,Brain
GTEX-13O3O-0011-R1b-SM-5KM2K,sample2055,Brain
GTEX-13O3O-0011-R2b-SM-5P9H1,sample2056,Brain
GTEX-13O3O-0011-R3b-SM-5KM3R,sample2057,Brain
GTEX-13O3O-0011-R4b-SM-5KM3F,sample2058,Brain
GTEX-13O3O-0011-R5b-SM-5KM44,sample2059,Brain
GTEX-13O3O-0011-R6b-SM-5P9GY,sample2060,Brain
GTEX-13O3O-0011-R7b-SM-5P9GZ,sample2061,Brain
GTEX-13O3O-0011-R8b-SM-5LUAL,sample2062,Brain
GTEX-13O3O-0126-SM-E9J49,sample2063,Skin
GTEX-13O3O-0426-SM-5KM2Y,sample2064,Blood Vessel
GTEX-13O3O-0526-SM-5J1NL,sample2065,Muscle
GTEX-13O3O-0926-SM-5KM1F,sample2066,Thyroid
GTEX-13O3O-1126-SM-5KM4Q,sample2067,Blood Vessel
GTEX-13O3O-1426-SM-5KM2S,sample2068,Heart
GTEX-13O3O-1526-SM-5KM1C,sample2069,Heart
GTEX-13O3O-2326-SM-5IJD6,sample2070,Skin
GTEX-13O3O-2526-SM-5L3DR,sample2071,Colon
GTEX-13O3O-3026-SM-5KM42,sample2072,Brain
GTEX-13O3O-3126-SM-5KM3H,sample2073,Brain
GTEX-13O3P-0126-SM-5KM4S,sample2074,Skin
GTEX-13O3P-0226-SM-5KM3Z,sample2075,Adipose Tissue
GTEX-13O3P-0526-SM-5K7UT,sample2076,Blood Vessel
GTEX-13O3P-0626-SM-5L3D5,sample2077,Muscle
GTEX-13O3P-0726-SM-5J2OM,sample2078,Thyroid
GTEX-13O3P-0926-SM-5IFFI,sample2079,Adipose Tissue
GTEX-13O3P-1126-SM-5L3FG,sample2080,Blood Vessel
GTEX-13O3P-1326-SM-5K7Y8,sample2081,Esophagus
GTEX-13O3P-1426-SM-5L3DT,sample2082,Heart
GTEX-13O3P-1626-SM-5K7X3,sample2083,Heart
GTEX-13O3P-2326-SM-5KM55,sample2084,Colon
GTEX-13O3P-2726-SM-5KM2R,sample2085,Esophagus
GTEX-13O3Q-0011-R10b-SM-5KM39,sample2086,Brain
GTEX-13O3Q-0011-R11b-SM-5KM2W,sample2087,Brain
GTEX-13O3Q-0011-R1b-SM-5KM3L,sample2088,Brain
GTEX-13O3Q-0011-R2b-SM-5KM3K,sample2089,Brain
GTEX-13O3Q-0011-R3a-SM-5P9H3,sample2090,Brain
GTEX-13O3Q-0011-R4a-SM-5P9H2,sample2091,Brain
GTEX-13O3Q-0011-R5b-SM-5P9H4,sample2092,Brain
GTEX-13O3Q-0011-R6a-SM-5KM2V,sample2093,Brain
GTEX-13O3Q-0011-R7a-SM-5KM38,sample2094,Brain
GTEX-13O3Q-0011-R8b-SM-5KM2J,sample2095,Brain
GTEX-13O3Q-0126-SM-5KM34,sample2096,Skin
GTEX-13O3Q-0326-SM-5L3FE,sample2097,Heart
GTEX-13O3Q-0626-SM-5IJG1,sample2098,Thyroid
GTEX-13O3Q-0826-SM-5IFGF,sample2099,Esophagus
GTEX-13O3Q-1126-SM-5K7YK,sample2100,Adipose Tissue
GTEX-13O3Q-2326-SM-5KM3G,sample2101,Adipose Tissue
GTEX-13O3Q-2426-SM-5IJBR,sample2102,Skin
GTEX-13O3Q-2526-SM-5IJC4,sample2103,Blood Vessel
GTEX-13O3Q-2726-SM-5KM51,sample2104,Muscle
GTEX-13O3Q-2926-SM-5KM45,sample2105,Brain
GTEX-13O3Q-3026-SM-5IJGD,sample2106,Brain
GTEX-13O61-0005-SM-5O9AU,sample2107,Blood
GTEX-13O61-0226-SM-5KM52,sample2108,Thyroid
GTEX-13O61-0326-SM-5KM2O,sample2109,Blood Vessel
GTEX-13O61-0426-SM-5L3ET,sample2110,Heart
GTEX-13O61-0526-SM-5J2M1,sample2111,Heart
GTEX-13O61-0626-SM-5L3D1,sample2112,Blood Vessel
GTEX-13O61-0926-SM-5IFFE,sample2113,Esophagus
GTEX-13O61-1026-SM-5L3F6,sample2114,Esophagus
GTEX-13O61-1226-SM-5KM21,sample2115,Esophagus
GTEX-13O61-1426-SM-5KM3D,sample2116,Skin
GTEX-13O61-1526-SM-5KM3P,sample2117,Colon
GTEX-13O61-1626-SM-5KM3T,sample2118,Colon
GTEX-13O61-1926-SM-5KM1R,sample2119,Adipose Tissue
GTEX-13O61-2326-SM-5J1NJ,sample2120,Muscle
GTEX-13O61-2426-SM-5J1NV,sample2121,Adipose Tissue
GTEX-13O61-2526-SM-5J1O8,sample2122,Blood Vessel
GTEX-13OVG-0005-SM-5P9HA,sample2123,Blood
GTEX-13OVG-0226-SM-5LU93,sample2124,Thyroid
GTEX-13OVG-0426-SM-5KM2T,sample2125,Heart
GTEX-13OVG-0526-SM-5K7YD,sample2126,Heart
GTEX-13OVG-0626-SM-5IFEP,sample2127,Esophagus
GTEX-13OVG-0726-SM-5IJBY,sample2128,Blood Vessel
GTEX-13OVG-0826-SM-5L3D8,sample2129,Blood Vessel
GTEX-13OVG-0926-SM-5J2OJ,sample2130,Esophagus
GTEX-13OVG-1026-SM-5KLZ3,sample2131,Esophagus
GTEX-13OVG-1326-SM-5K7Y3,sample2132,Adipose Tissue
GTEX-13OVG-1426-SM-5K7VP,sample2133,Colon
GTEX-13OVG-1626-SM-5J1NF,sample2134,Skin
GTEX-13OVG-1926-SM-5L3DK,sample2135,Skin
GTEX-13OVG-2126-SM-5KM1K,sample2136,Muscle
GTEX-13OVG-2326-SM-5J1OV,sample2137,Blood Vessel
GTEX-13OVH-0005-SM-5P9HB,sample2138,Blood
GTEX-13OVH-0011-R11b-SM-5KM4X,sample2139,Brain
GTEX-13OVH-0011-R3a-SM-5KM49,sample2140,Brain
GTEX-13OVH-0011-R4a-SM-5KM3W,sample2141,Brain
GTEX-13OVH-0011-R5b-SM-5KM4L,sample2142,Brain
GTEX-13OVH-0011-R6b-SM-5LUAX,sample2143,Brain
GTEX-13OVH-0011-R8b-SM-5MR35,sample2144,Brain
GTEX-13OVH-0126-SM-5MR4B,sample2145,Skin
GTEX-13OVH-0426-SM-5K7UC,sample2146,Blood Vessel
GTEX-13OVH-0526-SM-5L3E6,sample2147,Skin
GTEX-13OVH-0626-SM-5L3EI,sample2148,Muscle
GTEX-13OVH-1126-SM-5K7YP,sample2149,Adipose Tissue
GTEX-13OVH-1826-SM-5K7YW,sample2150,Esophagus
GTEX-13OVH-2926-SM-5IJFH,sample2151,Brain
GTEX-13OVH-3026-SM-5MR4N,sample2152,Brain
GTEX-13OVI-0001-SM-5O9BL,sample2153,Blood
GTEX-13OVI-0326-SM-5K7X1,sample2154,Heart
GTEX-13OVI-0626-SM-5IJCN,sample2155,Blood Vessel
GTEX-13OVI-0826-SM-5KLZ8,sample2156,Thyroid
GTEX-13OVI-1326-SM-5IJBO,sample2157,Adipose Tissue
GTEX-13OVI-1426-SM-5L3EY,sample2158,Skin
GTEX-13OVI-1726-SM-5L3DW,sample2159,Muscle
GTEX-13OVI-2026-SM-5J1MU,sample2160,Colon
GTEX-13OVI-2126-SM-5KM3U,sample2161,Colon
GTEX-13OVI-2526-SM-5KM4V,sample2162,Esophagus
GTEX-13OVI-2626-SM-5KM4T,sample2163,Esophagus
GTEX-13OVJ-0006-SM-5O98T,sample2164,Blood
GTEX-13OVJ-0011-R10b-SM-5L3HT,sample2165,Brain
GTEX-13OVJ-0011-R11a-SM-5P9H8,sample2166,Brain
GTEX-13OVJ-0011-R1b-SM-5L3I6,sample2167,Brain
GTEX-13OVJ-0011-R2b-SM-5L3GP,sample2168,Brain
GTEX-13OVJ-0011-R4b-SM-5P9H5,sample2169,Brain
GTEX-13OVJ-0011-R5a-SM-5P9H7,sample2170,Brain
GTEX-13OVJ-0011-R6b-SM-5L3GH,sample2171,Brain
